groupId,playerId,fair,T,W,age,gender
1,2,Fair,RA,1,27,Female
1,1,Unfair,RA,0,53,Female
1,1,Unfair,RA,0,33,Male
1,2,Fair,RA,1,33,Female
1,1,Fair,RA,0,33,Female
1,2,Fair,RA,1,28,Male
1,2,Unfair,RA,0,25,Male
1,1,Unfair,RA,1,46,Male
1,1,Fair,RA,1,30,Female
1,2,Unfair,RA,0,23,Female
2,2,Unfair,RA,0,30,Female
2,1,Fair,RA,1,44,Female
2,2,Unfair,RA,0,60,Male
2,1,Fair,RA,1,65,Female
2,1,Fair,RA,1,33,Male
2,2,Unfair,RA,0,33,Male
2,2,Unfair,RA,0,45,Female
2,1,Fair,RA,1,35,Male
2,2,Fair,RA,1,34,Male
2,1,Unfair,RA,0,25,Female
2,1,Unfair,RA,1,61,Female
2,2,Unfair,RA,0,23,Male
3,1,Unfair,RA,0,30,Male
3,2,Fair,RA,1,38,Female
3,1,Fair,RA,0,30,Female
3,2,Fair,RA,1,22,Female
3,2,Fair,RA,1,36,Female
3,1,Unfair,RA,0,44,Male
3,1,Unfair,RA,0,53,Female
3,2,Fair,RA,1,31,Female
3,1,Unfair,RA,0,46,Female
3,2,Fair,RA,1,27,Male
3,2,Fair,RA,0,43,Male
3,1,Fair,RA,1,40,Female
4,2,Unfair,RA,0,32,Female
4,1,Fair,RA,1,42,Male
4,1,Fair,RA,1,24,Female
4,2,Fair,RA,0,49,Male
4,1,Fair,RA,1,30,Male
4,2,Unfair,RA,0,39,Female
4,2,Fair,RA,0,29,Female
4,1,Unfair,RA,1,26,Male
4,2,Fair,RA,1,31,Female
4,1,Fair,RA,0,37,Female
4,2,Unfair,RA,0,31,Female
4,1,Fair,RA,1,24,Female
5,1,Fair,RA,0,61,Female
5,2,Fair,RA,1,34,Female
5,1,Unfair,RA,0,27,Male
5,2,Fair,RA,1,35,Male
5,1,Unfair,RA,0,37,Female
5,2,Fair,RA,1,45,Male
5,1,Fair,RA,1,35,Male
5,2,Fair,RA,0,44,Female
5,2,Fair,RA,1,26,Male
5,1,Unfair,RA,0,24,Female
5,1,Unfair,RA,0,60,Female
5,2,Fair,RA,1,49,Male
5,2,Fair,RA,0,53,Female
5,1,Unfair,RA,1,29,Male
6,1,Fair,RA,1,20,Male
6,2,Fair,RA,0,60,Female
6,1,Fair,RA,1,24,Male
6,2,Fair,RA,0,59,Female
6,2,Fair,RA,0,55,Female
6,1,Fair,RA,1,55,Male
6,2,Fair,RA,0,45,Female
6,1,Fair,RA,1,54,Female
6,2,Unfair,RA,0,43,Female
6,1,Fair,RA,1,51,Male
7,1,Fair,RA,1,30,Male
7,2,Unfair,RA,0,30,Male
7,1,Unfair,RA,0,26,Female
7,2,Fair,RA,1,39,Male
7,1,Unfair,RA,0,37,Female
7,2,Fair,RA,1,45,Male
7,2,Unfair,RA,0,38,Male
7,1,Unfair,RA,1,26,Male
7,1,Fair,RA,1,32,Male
7,2,Fair,RA,0,33,Male
8,2,Fair,RA,1,30,Female
8,1,Unfair,RA,0,28,Male
8,2,Unfair,RA,0,56,Female
8,1,Fair,RA,1,30,Male
8,1,Fair,RA,1,57,Female
8,2,Unfair,RA,0,37,Female
8,2,Unfair,RA,0,55,Male
8,1,Fair,RA,1,28,Female
8,1,Fair,RA,1,29,Male
8,2,Unfair,RA,0,30,Male
9,2,Fair,RA,1,34,Female
9,1,Fair,RA,0,35,Male
9,2,Unfair,RA,0,36,Male
9,1,Fair,RA,1,27,Female
9,2,Fair,RA,1,32,Female
9,1,Fair,RA,0,36,Female
9,2,Unfair,RA,1,25,Male
9,1,Fair,RA,0,43,Male
9,2,Unfair,RA,0,37,Female
9,1,Unfair,RA,1,37,Male
10,1,Fair,RA,1,50,Female
10,2,Fair,RA,0,36,Female
10,2,Fair,RA,1,60,Female
10,1,Fair,RA,0,40,Female
10,1,Fair,RA,0,37,Male
10,2,Fair,RA,1,27,Male
10,2,Fair,RA,1,36,Male
10,1,Unfair,RA,0,36,Male
11,2,Unfair,RA,0,37,Male
11,1,Fair,RA,1,38,Male
11,2,Fair,RA,1,54,Female
11,1,Fair,RA,0,32,Male
11,1,Fair,RA,1,42,Male
11,2,Fair,RA,0,54,Female
11,2,Fair,RA,1,32,Female
11,1,Fair,RA,0,39,Female
11,1,Unfair,RA,0,40,Male
11,2,Fair,RA,1,27,Female
11,2,Unfair,RA,0,28,Female
11,1,Fair,RA,1,44,Male
12,1,Fair,RA,1,71,Male
12,2,Unfair,RA,0,39,Male
12,1,Fair,RA,1,28,Female
12,2,Fair,RA,0,60,Male
12,1,Fair,RA,1,25,Female
12,2,Unfair,RA,0,45,Male
12,1,Fair,RA,1,69,Female
12,2,Fair,RA,0,42,Male
12,2,Unfair,RA,0,55,Female
12,1,Fair,RA,1,24,Male
13,2,Fair,RA,1,41,Female
13,1,Unfair,RA,0,27,Male
13,2,Fair,RA,1,60,Female
13,1,Unfair,RA,0,60,Female
13,1,Unfair,RA,0,33,Male
13,2,Fair,RA,1,48,Female
13,1,Unfair,RA,0,22,Female
13,2,Unfair,RA,1,41,Male
13,1,Fair,RA,1,27,Male
13,2,Unfair,RA,0,32,Male
13,2,Fair,RA,0,31,Male
13,1,Fair,RA,1,28,Female
14,1,Unfair,RA,0,43,Female
14,2,Fair,RA,1,53,Female
14,1,Fair,RA,1,27,Female
14,2,Fair,RA,0,48,Male
14,1,Fair,RA,1,NA,NA
14,2,Unfair,RA,0,28,Male
14,2,Fair,RA,1,28,Male
14,1,Unfair,RA,0,24,Male
14,1,Fair,RA,1,25,Female
14,2,Unfair,RA,0,36,Male
14,2,Unfair,RA,0,27,Female
14,1,Fair,RA,1,27,Female
15,1,Fair,RA,1,31,Female
15,2,Unfair,RA,0,36,Female
15,2,Unfair,RA,0,38,Female
15,1,Fair,RA,1,37,Male
15,1,Fair,RA,0,38,Female
15,2,Fair,RA,1,27,Female
16,2,Unfair,RA,0,44,Female
16,1,Fair,RA,1,27,Male
17,1,Fair,RA,1,67,Female
17,2,Unfair,RA,0,40,Male
18,1,Fair,RA,1,49,Female
18,2,Unfair,RA,0,27,Male
1,1,Unfair,RA,0,21,Male
1,2,Unfair,RA,1,29,Male
1,1,Unfair,RA,1,39,Male
1,2,Unfair,RA,0,30,Male
1,2,Unfair,RA,0,31,Female
1,1,Fair,RA,1,64,Female
1,1,Fair,RA,1,43,Male
1,2,Unfair,RA,0,33,Male
1,2,Fair,RA,0,45,Male
1,1,Fair,RA,1,25,Male
1,2,Fair,RA,1,37,Male
1,1,Unfair,RA,0,30,Female
2,1,Unfair,RA,1,25,Male
2,2,Fair,RA,0,42,Male
2,2,Fair,RA,1,36,Female
2,1,Fair,RA,0,44,Female
2,1,Unfair,RA,1,29,Male
2,2,Unfair,RA,0,40,Female
2,1,Unfair,RA,0,23,Male
2,2,Fair,RA,1,32,Male
2,1,Fair,RA,1,26,Male
2,2,Unfair,RA,0,32,Male
3,2,Fair,RA,0,59,Female
3,1,Fair,RA,1,49,Female
3,1,Fair,RA,0,44,Male
3,2,Fair,RA,1,39,Male
3,2,Unfair,RA,0,24,Female
3,1,Unfair,RA,1,28,Male
3,2,Fair,RA,1,35,Female
3,1,Unfair,RA,0,41,Male
